189360200;174;60;black;2000
535981394;90;700;bronze;320
516089502;240;1200;silver;250
255131796;54;1500;white;500
254565387;86;1000;grey;800
571522655;228;440;grey;390
263788832;59;600;black;750
408018499;54;500;white;250
143826003;0;4700;silver;1500
231784690;155;175;grey;380
243074424;61;4000;black;760
297972916;104;1400;bronze;530
146947171;112;1800;grey;1800
302618394;159;100;white;99.99
493374445;125;1650;silver;510
383477937;201;2350;white;179.9
119638199;134;1200;black;2650
244733872;133;700;grey;430
587065284;74;1010;silver;430
240201796;81;1050;white;290
172911121;144;700;black;3100
328237584;90;1200;bronze;250.23
118963476;146;1150;grey;2360
333607621;113;440;silver;123.99
274807482;30;1800;black;375
